handle;titel;merk;type;geen_seo_titel;geen_meta_description;seo_titel_len;woorden_beschrijving;afbeeldingen;afb_zonder_alt;niet_in_publieke_collectie;voorraad_0;handle_kopie_suffix;url
theeblik-100-gram-sara-miller-filigree;Theeblik 100 gram Sara Miller Filigree;Sara Miller London;Theeblik;ja;ja;;59;1;;;;;https://tanterie.nl/products/theeblik-100-gram-sara-miller-filigree
theeblik-100-gram-sara-miller-green-birds;Theeblik 100 gram Sara Miller Green Birds;Sara Miller London;Theeblik;ja;ja;;61;1;;;ja;;https://tanterie.nl/products/theeblik-100-gram-sara-miller-green-birds
theeblik-100-gram-sara-miller-haveli-paars;Theeblik 100 gram Sara Miller Haveli - Paars;Sara Miller London;Theeblik;ja;ja;;59;1;;;ja;;https://tanterie.nl/products/theeblik-100-gram-sara-miller-haveli-paars
aardbeien;Aardbeien;Tante Rie;Losse thee;;;56;36;1;;;;;https://tanterie.nl/products/aardbeien
alle-tijd;Alle Tijd;Tante Rie;Losse thee;;;62;50;1;;;;;https://tanterie.nl/products/alle-tijd
appeltaart;Appeltaart;Tante Rie;Losse thee;;;57;34;1;;;;;https://tanterie.nl/products/appeltaart
arts-craft-thee-bewaarblik-100-gram;Arts & Craft thee bewaarblik groen (100 gram);Tante Rie;;;;65;50;2;;;;;https://tanterie.nl/products/arts-craft-thee-bewaarblik-100-gram
arts-craft-thee-bewaarblik-100-gram-1;Arts & Craft thee bewaarblik blauw (100 gram);Tante Rie;;;;65;48;2;;;;ja;https://tanterie.nl/products/arts-craft-thee-bewaarblik-100-gram-1
assam;Assam;Tante Rie;Losse thee;;;66;49;1;;;;;https://tanterie.nl/products/assam
bamboe-lepel;Bamboe lepel;Tante Rie;;;;66;55;1;;;;;https://tanterie.nl/products/bamboe-lepel
beker-coffee-0-35l;Beker Coffee 0,35L;Tante Rie;;ja;ja;;0;2;;ja;;;https://tanterie.nl/products/beker-coffee-0-35l
beker-paarse-bloem;Beker paarse bloem;Tante Rie;;ja;ja;;0;0;;ja;;;https://tanterie.nl/products/beker-paarse-bloem
beker-vogels;Beker vogels;Tante Rie;;ja;ja;;0;0;;ja;;;https://tanterie.nl/products/beker-vogels
blikje-bij;Blikje bij;Tante Rie;;ja;ja;;0;0;;;;;https://tanterie.nl/products/blikje-bij
blikje-herfst;Blikje herfst;Tante Rie;;ja;ja;;0;0;;;;;https://tanterie.nl/products/blikje-herfst
blikje-paarse-bloemen;Blikje paarse bloemen;Tante Rie;;ja;ja;;0;0;;;;;https://tanterie.nl/products/blikje-paarse-bloemen
blikje-paarse-bloemen-rond;Blikje paarse bloemen rond;Tante Rie;;ja;ja;;0;0;;;;;https://tanterie.nl/products/blikje-paarse-bloemen-rond
